(단위 : 천원),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
회사명,종목코드,상장일,매출액(수익),,,,,영업이익,,,,,당기순이익,,,,
,,,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년
키움제6호스팩,413600,2022-04-07,0,0,0,0,0,0,0,"-8,718","-53,264",0,0,0,"-7,959","8,151",0
지투파워,388050,2022-04-01,"19,084,440","29,134,566","37,374,928","37,376,811",0,"-62,080","2,989,636","2,967,924","204,482",0,"-279,982","2,161,628","539,014","736,027",0
유진스팩8호,413630,2022-03-31,0,0,0,0,0,0,0,"-13,196","-55,315",0,0,0,"-12,524","57,682",0
코람코더원리츠,417310,2022-03-28,"12,368,175","12,707,807","13,440,088","6,891,406",0,"7,833,790","491,782","9,023,034","4,528,642",0,"4,322,844","-3,819,184","2,685,766","2,597,076",0
세아메카닉스,396300,2022-03-24,"88,385,577","82,694,740","104,796,481","87,638,725",0,"5,586,831","4,968,330","5,311,395","2,253,778",0,"5,697,555","4,254,244","6,200,991","3,827,707",0
공구우먼,366030,2022-03-23,"24,763,869","32,683,410","47,319,808","58,686,880",0,"3,333,995","5,379,170","10,327,067","12,661,736",0,"3,054,967","4,345,851","8,764,033","11,327,936",0
유일로보틱스,388720,2022-03-18,"24,042,255","27,952,389","35,052,241","36,720,572",0,"2,932,156","2,843,599","2,941,100","-2,967,861",0,"2,886,248","2,504,540","3,574,180","-2,151,604",0
모아데이타,288980,2022-03-10,"8,720,179","13,785,094","19,642,516","21,713,748",0,"2,120,316","3,085,425","2,709,732","1,182,387",0,"1,844,453","2,093,497","1,083,407","1,897,874",0
메쎄이상,408920,2022-03-07,0,0,0,0,0,0,0,"-3,918","-133,559",0,0,0,"-4,953","-41,755",0
노을,376930,2022-03-03,0,"295,264","1,475,309","541,879",0,"-4,728,135","-7,247,955","-11,423,071","-15,616,170",0,"-5,982,720","-8,974,573","-12,315,478","-13,715,341",0
비씨엔씨,146320,2022-03-03,"32,430,922","45,405,770","62,541,798","80,050,018",0,"1,257,499","7,860,324","8,711,955","10,049,532",0,"936,296","3,943,460","7,197,317","8,718,897",0
풍원정밀,371950,2022-02-28,"37,854,671","35,711,899","39,431,184","42,412,887",0,"402,292","585,898","3,064,765","779,053",0,"-1,621,623","560,764","2,844,609","6,542,045",0
하나금융21호스팩,406760,2022-02-25,0,0,0,0,0,0,0,"-13,669","-29,306",0,0,0,"-15,106","86,328",0
